-70.8832,40.4708,4.9,2024-02-10 15:30:00.000
-70.8832,40.4499,4.9,2024-02-10 15:45:00.000
-70.8831,40.4295,5,2024-02-10 16:00:00.000
-70.8832,40.4086,4.9,2024-02-10 16:15:00.000
-70.8838,40.3875,4.8,2024-02-10 16:30:00.000
-70.8865,40.3697,5,2024-02-10 16:45:00.000
-70.8828,40.3494,4.3,2024-02-10 17:00:00.000
-70.8814,40.3292,5.1,2024-02-10 17:15:00.000
-70.8825,40.3076,5,2024-02-10 17:30:00.000
-70.8832,40.2873,4.8,2024-02-10 17:45:00.000
-70.8833,40.2669,4.8,2024-02-10 18:00:00.000
-70.8833,40.2465,5,2024-02-10 18:15:00.000
-70.8836,40.2264,4.9,2024-02-10 18:30:00.000
-70.8855,40.2063,5.1,2024-02-10 18:45:00.000
-70.8851,40.1863,4,2024-02-10 19:00:00.000
-70.8844,40.1681,4.5,2024-02-10 19:15:00.000
-70.8838,40.1498,4.2,2024-02-10 19:30:00.000
-70.8853,40.1309,4.6,2024-02-10 19:45:00.000
-70.8841,40.1128,4.6,2024-02-10 20:00:00.000
-70.8809,40.095,4.1,2024-02-10 20:15:00.000
-70.883,40.0768,4.3,2024-02-10 20:30:00.000
-70.8831,40.0585,3.8,2024-02-10 20:45:00.000
-70.8834,40.0399,4.7,2024-02-10 21:00:00.000
-70.8836,40.0207,4.7,2024-02-10 21:15:00.000
-70.8834,40.0009,5,2024-02-10 21:30:00.000
-70.8828,39.9803,4.9,2024-02-10 21:45:00.000
-70.8833,39.9607,4.8,2024-02-10 22:00:00.000
-70.8828,39.9421,4.7,2024-02-10 22:15:00.000
-70.8818,39.9232,4.5,2024-02-10 22:30:00.000
-70.8811,39.9047,4.6,2024-02-10 22:45:00.000
-70.8809,39.8857,4.7,2024-02-10 23:00:00.000
-70.8813,39.866,4.2,2024-02-10 23:15:00.000
-70.8821,39.8479,3.9,2024-02-10 23:30:00.000
-70.8832,39.8312,4.1,2024-02-10 23:45:00.000
-70.8839,39.814,4.3,2024-02-11 00:00:00.000
-70.8841,39.7959,4.2,2024-02-11 00:15:00.000
-70.8841,39.7812,3.5,2024-02-11 00:30:00.000
-70.8886,39.77,3.1,2024-02-11 00:45:00.000
-70.8979,39.7604,2.5,2024-02-11 01:00:00.000
-70.9029,39.758,6.8,2024-02-11 01:15:00.000
-70.9002,39.7939,10,2024-02-11 01:30:00.000
-70.8946,39.8352,10,2024-02-11 01:45:00.000
-70.8867,39.8761,9.8,2024-02-11 02:00:00.000
-70.8817,39.9175,10.6,2024-02-11 02:15:00.000
-70.8857,39.9384,1.4,2024-02-11 02:30:00.000
-70.8982,39.9312,3.3,2024-02-11 02:45:00.000
-70.9121,39.923,3.3,2024-02-11 03:00:00.000
-70.9081,39.9251,7.9,2024-02-11 03:30:00.000
-70.8869,39.9341,1.1,2024-02-11 04:15:00.000
-70.8942,39.9265,1.8,2024-02-11 04:45:00.000
-70.9002,39.9214,1.3,2024-02-11 05:00:00.000
-70.8966,39.9147,4.4,2024-02-11 05:15:00.000
-70.8824,39.8991,10.1,2024-02-11 05:30:00.000
-70.8831,39.8567,10.4,2024-02-11 05:45:00.000
-70.8834,39.8133,10.5,2024-02-11 06:00:00.000
-70.8774,39.7722,9.6,2024-02-11 06:15:00.000
-70.8261,39.7734,9.4,2024-02-11 06:30:00.000
-70.7746,39.772,7.8,2024-02-11 06:45:00.000
-70.7771,39.7694,1.2,2024-02-11 07:00:00.000
-70.7787,39.7656,1.2,2024-02-11 07:15:00.000
-70.7861,39.7617,5.6,2024-02-11 07:30:00.000
-70.8318,39.7735,9.7,2024-02-11 07:45:00.000
-70.8839,39.7732,9.5,2024-02-11 08:00:00.000
-70.936,39.7733,9.3,2024-02-11 08:15:00.000
-70.9878,39.7745,9.2,2024-02-11 08:30:00.000
-71.001,39.766,1.1,2024-02-11 09:15:00.000
-70.9677,39.7719,9.7,2024-02-11 09:30:00.000
-70.9157,39.7736,9.7,2024-02-11 09:45:00.000
-70.8834,39.7725,1.7,2024-02-11 10:00:00.000
-70.8869,39.7672,1.7,2024-02-11 10:15:00.000
-70.8908,39.7624,1.6,2024-02-11 10:30:00.000
-70.8965,39.7583,1.8,2024-02-11 10:45:00.000
-70.9033,39.754,1.8,2024-02-11 11:00:00.000
-70.9135,39.7484,2.2,2024-02-11 11:15:00.000
-70.9242,39.7424,2.6,2024-02-11 11:30:00.000
-70.9355,39.7365,2.6,2024-02-11 11:45:00.000
-70.9284,39.7402,7.9,2024-02-11 12:00:00.000
-70.8947,39.7646,8.6,2024-02-11 12:15:00.000
-70.8827,39.767,2,2024-02-11 12:30:00.000
-70.8881,39.7586,3,2024-02-11 12:45:00.000
-70.897,39.7596,1.3,2024-02-11 13:00:00.000
-70.8944,39.7646,1.2,2024-02-11 13:15:00.000
-70.8861,39.7725,1.5,2024-02-11 13:45:00.000
-70.8807,39.7758,1.2,2024-02-11 14:00:00.000
-70.8832,39.7847,1.4,2024-02-11 14:30:00.000
-70.8831,39.7924,3.1,2024-02-11 14:45:00.000
-70.8834,39.8083,3.9,2024-02-11 15:00:00.000
-70.8834,39.8247,4,2024-02-11 15:15:00.000
-70.8832,39.8412,4.1,2024-02-11 15:30:00.000
-70.8828,39.8576,3.9,2024-02-11 15:45:00.000
-70.8819,39.8738,3.9,2024-02-11 16:00:00.000
-70.8836,39.8903,4.3,2024-02-11 16:15:00.000
-70.8834,39.9075,4.1,2024-02-11 16:30:00.000
-70.8838,39.9245,4.1,2024-02-11 16:45:00.000
-70.883,39.9408,4.1,2024-02-11 17:00:00.000
-70.8835,39.9573,3.9,2024-02-11 17:15:00.000
-70.8834,39.9733,3.8,2024-02-11 17:30:00.000
-70.8835,39.99,4.1,2024-02-11 17:45:00.000
-70.8835,40.0071,4.2,2024-02-11 18:00:00.000
-70.8833,40.0239,4,2024-02-11 18:15:00.000
-70.8839,40.0403,4.1,2024-02-11 18:30:00.000
-70.8836,40.0568,3.9,2024-02-11 18:45:00.000
-70.8837,40.0734,4,2024-02-11 19:00:00.000
-70.8836,40.0899,3.8,2024-02-11 19:15:00.000
-70.8833,40.1066,4.2,2024-02-11 19:30:00.000
-70.8836,40.1231,3.9,2024-02-11 19:45:00.000
-70.8833,40.1399,4.2,2024-02-11 20:00:00.000
-70.8834,40.157,3.9,2024-02-11 20:15:00.000
-70.8831,40.1733,4,2024-02-11 20:30:00.000
-70.8881,40.187,3.1,2024-02-11 20:45:00.000
-70.8932,40.1893,4.9,2024-02-11 21:00:00.000
-70.884,40.1532,9.7,2024-02-11 21:15:00.000
-70.8841,40.1128,9.6,2024-02-11 21:30:00.000
-70.8832,40.0712,10.6,2024-02-11 21:45:00.000
-70.8848,40.0453,1.3,2024-02-11 22:00:00.000
-70.8962,40.0436,1.3,2024-02-11 22:30:00.000
-70.9038,40.0415,2,2024-02-11 22:45:00.000
-70.9117,40.0441,1.5,2024-02-11 23:00:00.000
-70.9116,40.0505,2.3,2024-02-11 23:15:00.000
-70.9043,40.0793,7.9,2024-02-11 23:30:00.000
-70.8982,40.1122,8.1,2024-02-11 23:45:00.000
-70.8884,40.1456,8,2024-02-12 00:00:00.000
-70.8891,40.1545,2.8,2024-02-12 00:15:00.000
-70.902,40.1629,4.7,2024-02-12 00:30:00.000
-70.9213,40.1736,4.2,2024-02-12 00:45:00.000
-70.9402,40.1839,4.2,2024-02-12 01:00:00.000
-70.9523,40.1902,2.4,2024-02-12 01:15:00.000
-70.9236,40.1718,9.7,2024-02-12 01:30:00.000
-70.8847,40.1519,3.8,2024-02-12 01:45:00.000
-70.8919,40.1551,1.3,2024-02-12 02:00:00.000
-70.9057,40.1599,2.4,2024-02-12 02:30:00.000
-70.9151,40.1629,1.8,2024-02-12 02:45:00.000
-70.9223,40.1691,6.1,2024-02-12 03:00:00.000
-70.9228,40.195,6.2,2024-02-12 03:15:00.000
-70.9227,40.2223,7.1,2024-02-12 03:30:00.000
-70.9187,40.2649,10.7,2024-02-12 03:45:00.000
-70.9138,40.3085,10.5,2024-02-12 04:00:00.000
-70.9081,40.3519,10.3,2024-02-12 04:15:00.000
-70.9013,40.3949,10.3,2024-02-12 04:30:00.000
-70.895,40.4379,10.3,2024-02-12 04:45:00.000
-70.8901,40.4809,10.4,2024-02-12 05:00:00.000
-70.8835,40.524,10.3,2024-02-12 05:15:00.000
-70.8832,40.5672,10.5,2024-02-12 05:30:00.000
-70.884,40.6105,10.3,2024-02-12 05:45:00.000
-70.8832,40.6535,10.2,2024-02-12 06:00:00.000
-70.8768,40.6956,10.2,2024-02-12 06:15:00.000
-70.8204,40.6969,10.8,2024-02-12 06:30:00.000
-70.7724,40.6969,1.5,2024-02-12 06:45:00.000
-70.7823,40.6973,2.1,2024-02-12 07:15:00.000
-70.8328,40.6963,10.7,2024-02-12 07:30:00.000
-70.8908,40.6961,10.6,2024-02-12 07:45:00.000
-70.9494,40.697,10.7,2024-02-12 08:00:00.000
-70.9934,40.697,1.1,2024-02-12 08:15:00.000
-70.9479,40.6971,10.2,2024-02-12 08:45:00.000
-70.8918,40.696,10.1,2024-02-12 09:00:00.000
-70.8897,40.6955,2,2024-02-12 09:15:00.000
-70.8991,40.6933,1.9,2024-02-12 09:30:00.000
-70.8845,40.6966,1.8,2024-02-12 09:45:00.000
-70.8917,40.6968,1.2,2024-02-12 10:00:00.000
-70.8986,40.697,1.1,2024-02-12 10:15:00.000
-70.8897,40.694,9.1,2024-02-12 10:30:00.000
-70.8846,40.7005,2.8,2024-02-12 10:45:00.000
-70.8844,40.7146,3.3,2024-02-12 11:00:00.000
-70.8843,40.7273,1.7,2024-02-12 11:15:00.000
-70.8838,40.7346,2.5,2024-02-12 11:30:00.000
-70.8844,40.6981,10.4,2024-02-12 11:45:00.000
-70.8842,40.6548,10.4,2024-02-12 12:00:00.000
-70.8838,40.6117,10.3,2024-02-12 12:15:00.000
-70.8831,40.569,10.3,2024-02-12 12:30:00.000
-70.8824,40.5261,10.2,2024-02-12 12:45:00.000
-70.8827,40.4828,10.5,2024-02-12 13:00:00.000
-70.883,40.4391,10.5,2024-02-12 13:15:00.000
-70.8826,40.3953,10.5,2024-02-12 13:30:00.000
-70.8823,40.3512,10.6,2024-02-12 13:45:00.000
-70.8823,40.3072,10.5,2024-02-12 14:00:00.000
-70.8837,40.2636,10.5,2024-02-12 14:15:00.000
-70.8826,40.265,1.6,2024-02-12 14:45:00.000
-70.878,40.2653,9.2,2024-02-12 15:45:00.000
-70.8826,40.2565,2.4,2024-02-12 16:00:00.000
-70.8831,40.2707,3.8,2024-02-12 16:15:00.000
-70.8835,40.2882,4.6,2024-02-12 16:30:00.000
-70.8841,40.3082,5.1,2024-02-12 16:45:00.000
-70.8833,40.3285,5,2024-02-12 17:00:00.000
-70.8826,40.3491,5.1,2024-02-12 17:15:00.000
-70.8907,40.3674,5,2024-02-12 17:30:00.000
-70.9,40.3827,4.8,2024-02-12 17:45:00.000
-70.8839,40.3987,4.7,2024-02-12 18:00:00.000
-70.8833,40.4194,4.8,2024-02-12 18:15:00.000
-70.8832,40.4394,4.8,2024-02-12 18:30:00.000
-70.8831,40.4596,4.8,2024-02-12 18:45:00.000
-70.8831,40.4802,4.9,2024-02-12 19:00:00.000
-70.8834,40.5008,5,2024-02-12 19:15:00.000
-70.8835,40.5214,5.1,2024-02-12 19:30:00.000
-70.8843,40.5423,5.1,2024-02-12 19:45:00.000
-70.8852,40.563,4.9,2024-02-12 20:00:00.000
-70.884,40.5842,5.1,2024-02-12 20:15:00.000
-70.8842,40.6051,4.9,2024-02-12 20:30:00.000
