EN711,﻿-71.3914,41.5705
EN711,-71.3969,41.5318
EN711,-71.4109,41.492
EN711,-71.4107,41.4485
EN711,-71.4166,41.4051
EN711,-71.4203,41.3624
EN711,-71.4197,41.3189
EN711,-71.4242,41.2963
EN711,-71.4377,41.3048
EN711,-71.4373,41.3178
EN711,-71.437,41.3415
EN711,-71.4388,41.3594
EN711,-71.4277,41.4024
EN711,-71.4119,41.4447
EN711,-71.4075,41.4887
EN711,-71.4183,41.4947
EN712,-71.4139,41.4864
EN712,-71.4102,41.4553
EN712,-71.4037,41.4246
EN712,-71.361,41.4068
EN712,-71.3111,41.3851
EN712,-71.262,41.3631
EN712,-71.2119,41.3411
EN712,-71.1613,41.3191
EN712,-71.1108,41.2964
EN712,-71.0608,41.2741
EN712,-71.0106,41.2517
EN712,-70.9633,41.2311
EN712,-70.9164,41.2111
EN712,-70.8846,41.1945
EN712,-70.885,41.1914
EN712,-70.8751,41.1537
EN712,-70.8724,41.1147
EN712,-70.8797,41.0964
EN712,-70.8803,41.0835
EN712,-70.8807,41.0678
EN712,-70.8822,41.0523
EN712,-70.8838,41.0357
EN712,-70.8837,41.0163
EN712,-70.8833,40.9967
EN712,-70.8834,40.9776
EN712,-70.8833,40.9584
EN712,-70.8837,40.9393
EN712,-70.8848,40.92
EN712,-70.8848,40.9011
EN712,-70.8843,40.8825
EN712,-70.8831,40.864
EN712,-70.8827,40.8455
EN712,-70.8827,40.8254
EN712,-70.8827,40.8046
EN712,-70.8828,40.7839
EN712,-70.8826,40.7631
EN712,-70.883,40.7424
EN712,-70.8841,40.7217
EN712,-70.8834,40.7016
EN712,-70.8818,40.6813
EN712,-70.8801,40.661
EN712,-70.8798,40.6403
EN712,-70.881,40.6179
EN712,-70.8817,40.596
EN712,-70.882,40.5746
EN712,-70.8825,40.553
EN712,-70.8839,40.5312
EN712,-70.8848,40.5134
EN712,-70.8766,40.5079
EN712,-70.8727,40.5024
EN712,-70.8739,40.4728
EN712,-70.8784,40.4315
EN712,-70.8813,40.3901
EN712,-70.8681,40.3612
EN712,-70.8162,40.3622
EN712,-70.7832,40.3632
EN712,-70.8394,40.3627
EN712,-70.8959,40.3636
EN712,-70.9519,40.3641
EN712,-70.994,40.3617
EN712,-70.9566,40.3618
EN712,-70.9035,40.3634
EN712,-70.8774,40.3601
EN712,-70.8777,40.3435
EN712,-70.8815,40.3063
EN712,-70.8837,40.2684
EN712,-70.88,40.2531
EN712,-70.8776,40.2478
EN712,-70.8822,40.2536
EN712,-70.883,40.2975
EN712,-70.8812,40.3419
EN712,-70.8818,40.387
EN712,-70.8867,40.4313
EN712,-70.888,40.476
EN712,-70.8835,40.5143
EN712,-70.8739,40.5121
EN712,-70.8767,40.504
EN712,-70.883,40.4902
EN712,-70.8832,40.4708
EN712,-70.8832,40.4499
EN712,-70.8831,40.4295
EN712,-70.8832,40.4086
EN712,-70.8838,40.3875
EN712,-70.8865,40.3697
EN712,-70.8828,40.3494
EN712,-70.8814,40.3292
EN712,-70.8825,40.3076
EN712,-70.8832,40.2873
EN712,-70.8833,40.2669
EN712,-70.8833,40.2465
EN712,-70.8836,40.2264
EN712,-70.8855,40.2063
EN712,-70.8851,40.1863
EN712,-70.8844,40.1681
EN712,-70.8838,40.1498
EN712,-70.8853,40.1309
EN712,-70.8841,40.1128
EN712,-70.8809,40.095
EN712,-70.883,40.0768
EN712,-70.8831,40.0585
EN712,-70.8834,40.0399
EN712,-70.8836,40.0207
EN712,-70.8834,40.0009
EN712,-70.8828,39.9803
EN712,-70.8833,39.9607
EN712,-70.8828,39.9421
EN712,-70.8818,39.9232
EN712,-70.8811,39.9047
EN712,-70.8809,39.8857
EN712,-70.8813,39.866
EN712,-70.8821,39.8479
EN712,-70.8832,39.8312
EN712,-70.8839,39.814
EN712,-70.8841,39.7959
EN712,-70.8841,39.7812
EN712,-70.8886,39.77
EN712,-70.8979,39.7604
EN712,-70.9029,39.758
EN712,-70.9002,39.7939
EN712,-70.8946,39.8352
EN712,-70.8867,39.8761
EN712,-70.8817,39.9175
EN712,-70.8857,39.9384
EN712,-70.8982,39.9312
EN712,-70.9121,39.923
EN712,-70.9081,39.9251
EN712,-70.8869,39.9341
EN712,-70.8942,39.9265
EN712,-70.9002,39.9214
EN712,-70.8966,39.9147
EN712,-70.8824,39.8991
EN712,-70.8831,39.8567
EN712,-70.8834,39.8133
EN712,-70.8774,39.7722
EN712,-70.8261,39.7734
EN712,-70.7746,39.772
EN712,-70.7771,39.7694
EN712,-70.7787,39.7656
EN712,-70.7861,39.7617
EN712,-70.8318,39.7735
EN712,-70.8839,39.7732
EN712,-70.936,39.7733
EN712,-70.9878,39.7745
EN712,-71.001,39.766
EN712,-70.9677,39.7719
EN712,-70.9157,39.7736
EN712,-70.8834,39.7725
EN712,-70.8869,39.7672
EN712,-70.8908,39.7624
EN712,-70.8965,39.7583
